Ticker number,Ticker,Week's Performance,Highest Price,Lowest Price,Best Day,Worst Day,Week's Volume
2785,FRGE,168.665%,$44.68,$11.94,76.797%,-11.135%,42405704714720752880972
1576,CLVRW,119.000%,$0.65,$0.20,40.524%,-41.180%,2642035114916271312
3528,HYMCL,118.977%,$0.80,$0.28,16.667%,-8.119%,31955415062343635
1575,CLVR,109.677%,$3.98,$1.22,91.521%,-35.254%,6119351496131999272447167546
2129,DRCT,99.038%,$5.49,$2.06,16.827%,-13.858%,22022005175617415459365
3673,IMTE,95.586%,$23.72,$11.35,22.639%,7.112%,32005704257720653761
3527,HYMC,84.556%,$3.10,$1.22,39.759%,-12.203%,9417267251592522723342205485
2508,EVLVW,67.925%,$0.62,$0.22,54.465%,-37.600%,54315138326147
1796,CRXT,66.400%,$2.11,$1.19,19.565%,3.825%,2725370351494953413937
3529,HYMCW,64.633%,$0.55,$0.27,32.147%,-3.097%,603534380036711323
6896,THCAW,64.143%,$0.23,$0.09,43.625%,-21.429%,10737136642
3020,GIACW,62.450%,$0.39,$0.20,24.171%,0.000%,5171250
3610,IGMS,60.959%,$35.98,$14.45,38.321%,-8.947%,25273270303033349768380
5064,NTRBW,58.125%,$9.07,$4.79,26.500%,-0.208%,44201078
3395,HMLP,58.116%,$8.17,$4.91,9.820%,-0.600%,28838955415843184247
4137,LCAHW,57.227%,$0.59,$0.32,46.417%,31.159%,56763735
6464,SMHI,54.545%,$8.54,$5.50,18.650%,0.980%,4311459390525342629
4358,LVOXW,49.180%,$0.32,$0.19,44.207%,0.000%,85922310640
3038,GIWWW,46.115%,$0.44,$0.22,72.134%,0.000%,9161047
3078,GLSPW,45.792%,$0.37,$0.24,52.250%,-5.882%,8112355
1877,CUTR,44.295%,$66.73,$44.04,13.468%,-1.087%,32721654413270125588739
5641,POLY,43.942%,$39.99,$25.71,2.987%,-3.535%,30643186966313897425396
5259,ONYXW,43.892%,$0.41,$0.22,78.737%,-14.117%,203121914
2977,GFAIW,43.655%,$0.59,$0.22,8.648%,-13.694%,11940776289
3311,HCNEW,43.636%,$0.85,$0.51,1.255%,-7.063%,42382033
5000,NPABW,43.000%,$0.46,$0.28,9.967%,-28.109%,176551445
3364,HILS,42.958%,$2.78,$1.41,37.162%,-3.318%,36240217668324775
2700,FLMNW,42.735%,$0.45,$0.28,35.737%,0.083%,3101561492040
569,ARRWW,42.671%,$0.29,$0.19,10.205%,-25.926%,47104215
6320,SGLY,42.151%,$13.15,$8.74,21.076%,2.035%,1041210832355948083582
