Ticker number,Ticker,Week's Performance,Highest Price,Lowest Price,Best Day,Worst Day,Week's Volume
4664,MPAC,-0.001%,$10.09,$10.07,0.049%,-0.099%,56523147
677,ATSPT,-0.001%,$9.97,$9.92,0.201%,-0.101%,32626316
4185,LFTR,-0.001%,$9.85,$9.84,0.000%,-0.091%,463912411642
3948,KAIIU,-0.001%,$9.86,$9.79,0.101%,-0.370%,26421025
6561,SPKB,-0.001%,$9.83,$9.75,0.512%,-0.510%,1030609953
3026,GIIX,-0.002%,$9.95,$9.90,0.151%,-0.151%,3737864273
1229,BWNB,-0.006%,$24.15,$23.37,0.885%,-0.985%,12522014617065
1839,CTHR,-0.006%,$1.76,$1.64,4.813%,-2.907%,374503338333378
1340,CCLP,-0.007%,$1.46,$1.37,1.429%,-1.408%,380846269166294
568,ARRWU,-0.009%,$9.87,$9.81,0.102%,-0.305%,19291139
5036,NSIT,-0.009%,$109.14,$105.50,0.850%,-0.990%,34765436569551004719
4985,NODK,-0.012%,$18.25,$16.90,0.349%,-2.646%,82196248346189
3705,INM,-0.012%,$1.19,$0.74,22.093%,-23.223%,20142428814785907
1781,CROX,-0.013%,$84.17,$75.62,3.155%,-3.913%,3143823863235502619925879
5868,RBAC,-0.015%,$9.93,$9.92,0.101%,0.000%,21194177243196
5223,OLN,-0.019%,$53.93,$50.91,3.040%,-1.928%,1561418084168041987721026
2242,ECOL,-0.021%,$47.61,$47.22,0.443%,-0.316%,27254970695561464517
5546,PHM,-0.023%,$45.59,$43.26,1.825%,-1.903%,2802330425208913776722920
4242,LITTW,-0.028%,$0.44,$0.34,15.194%,-7.895%,17324698
2138,DRQ,-0.028%,$36.61,$32.46,6.370%,-1.723%,41706818621571966526
2298,EJFA,-0.028%,$9.89,$9.85,0.177%,-0.253%,4519125825814
3842,IX,-0.029%,$102.68,$100.06,0.486%,-0.547%,481456327847490
5627,PNFPP,-0.037%,$26.82,$25.80,2.504%,-2.051%,9898544375
193,AFGD,-0.040%,$25.74,$24.95,0.080%,-1.302%,1111569761224
5146,NYMTL,-0.043%,$23.95,$23.27,0.613%,-1.094%,705943739
6474,SMP,-0.045%,$44.93,$43.05,1.628%,-2.831%,18981574167321501439
5367,PACW,-0.045%,$46.50,$43.98,1.996%,-4.055%,1608113534126441191020699
5320,OTEX,-0.047%,$44.10,$42.13,0.599%,-1.470%,72885836597771257671
3557,IBOC,-0.047%,$44.97,$42.14,2.939%,-3.785%,26223539431440263565
7063,TSM,-0.047%,$109.75,$104.61,1.237%,-0.983%,12763889107105196147634127735
7655,XFIN,-0.050%,$9.95,$9.90,0.202%,-0.251%,2871815
3124,GOAC,-0.050%,$9.92,$9.90,0.202%,-0.050%,342041013563
3454,HSAQ,-0.050%,$9.96,$9.89,0.101%,-0.602%,262581131
4537,MGRD,-0.051%,$19.79,$19.20,0.870%,-1.068%,41427651191106
2363,ENPC,-0.051%,$9.88,$9.84,0.267%,-0.304%,3612643105166
75,ACII,-0.051%,$9.80,$9.75,0.308%,-0.051%,42122152610
7279,VBTX,-0.052%,$40.78,$38.05,2.408%,-4.222%,41413659495780825504
7301,VELO,-0.052%,$9.78,$9.71,0.350%,-0.446%,80106472015
5809,QDEL,-0.053%,$114.42,$108.00,1.070%,-2.135%,9664112569183103878891
393,AMNB,-0.053%,$38.85,$37.06,3.365%,-2.713%,549666668487508
2644,FGBIP,-0.057%,$25.92,$25.55,0.465%,0.000%,78272765
6663,STN,-0.059%,$51.55,$49.65,0.677%,-0.513%,18162378158522051434
6979,TOL,-0.061%,$50.81,$48.08,3.147%,-2.581%,2666625713195852187821720
6556,SPGS,-0.061%,$9.78,$9.75,0.023%,-0.266%,174131529
6202,SBH,-0.063%,$16.80,$15.17,3.299%,-4.408%,122711312013799124599857
7538,WHLRD,-0.069%,$15.02,$14.42,0.759%,-0.069%,1711103091
5468,PEBK,-0.069%,$29.95,$28.52,4.133%,-2.437%,2613510754110
1098,BPRN,-0.069%,$29.18,$28.79,0.556%,-0.621%,210246130269415
5153,NZF,-0.069%,$14.45,$13.71,2.128%,-2.058%,7521997363033082820
2765,FPAC,-0.070%,$9.95,$9.92,0.000%,-0.101%,6686854071285407
5332,OUT,-0.071%,$29.36,$28.12,1.411%,-2.074%,905412340102361274513968
4742,MTG,-0.072%,$14.46,$13.76,1.348%,-2.731%,1618517514153391900920279
2271,EFR,-0.075%,$13.39,$12.83,0.772%,-1.445%,5401442652563410
4761,MUC,-0.076%,$13.20,$12.85,1.513%,-0.922%,396554423324331
2011,DFP,-0.078%,$25.88,$25.22,1.258%,-1.753%,335504387484902
6221,SCCC,-0.079%,$25.50,$25.37,0.117%,-0.227%,338463321
7319,VFL,-0.080%,$12.52,$12.32,0.484%,-1.198%,277170248402265
5022,NRK,-0.083%,$12.11,$11.89,0.754%,-0.581%,596375436472253
7292,VCXAW,-0.083%,$1.10,$0.95,1.729%,-12.800%,2172114
4764,MUE,-0.085%,$11.88,$11.47,1.478%,-1.795%,372192397386252
6818,TCFC,-0.085%,$40.89,$40.00,0.925%,-1.302%,7579241134189
4416,MAT,-0.086%,$23.69,$22.28,1.034%,-0.994%,1853725209235162894624305
3716,INSM,-0.087%,$23.56,$21.19,4.790%,-3.462%,8525804276431444310255
4619,MNDT,-0.090%,$22.43,$22.19,0.584%,-0.403%,2419522298216482942622829
5460,PDOT,-0.090%,$9.77,$9.75,0.102%,-0.090%,12125628
5525,PGRE,-0.092%,$11.16,$10.74,1.379%,-1.351%,161951129099891832811028
3284,HBP,-0.094%,$10.72,$10.62,0.094%,-0.187%,55064986446748693519
1783,CRSP,-0.094%,$67.87,$60.56,2.550%,-3.554%,1940722027193902775422995
2716,FMIV,-0.095%,$9.75,$9.73,0.103%,-0.051%,1603838242
1159,BSGA,-0.099%,$10.06,$10.03,0.041%,-0.001%,7231528
3495,HUGS,-0.099%,$10.14,$10.05,0.696%,-0.198%,16785186198204
6892,THACU,-0.099%,$10.11,$10.10,0.000%,0.000%,34462348
1226,BWG,-0.100%,$10.12,$9.90,0.402%,-0.801%,326184298291414
5165,OCA,-0.100%,$9.96,$9.95,0.101%,0.000%,21408185
1071,BOAC,-0.101%,$9.86,$9.84,0.102%,-0.203%,702630918016
717,AVAN,-0.101%,$9.88,$9.86,0.051%,-0.051%,3720250569192
1491,CHWA,-0.101%,$9.88,$9.87,0.000%,-0.101%,4417325
6081,ROSS,-0.101%,$10.02,$9.77,0.102%,-2.395%,203235429
5707,PRSRU,-0.101%,$9.92,$9.87,0.101%,-0.302%,13313207
2209,DYNS,-0.101%,$9.95,$9.85,0.404%,-0.202%,9023498812353
3668,IMPX,-0.101%,$9.91,$9.89,0.202%,-0.202%,868292134417277
99,ACTD,-0.101%,$9.92,$9.90,0.101%,-0.101%,22728918195123
1142,BRPM,-0.101%,$9.93,$9.88,0.405%,-0.201%,414349245251219
5347,OXLCP,-0.101%,$24.81,$24.21,0.000%,-0.341%,4281529530
2466,ETAC,-0.101%,$9.91,$9.90,0.000%,-0.101%,1422182519218
5556,PICC,-0.102%,$9.78,$9.75,0.051%,-0.205%,22119126
7113,TWNI,-0.102%,$9.81,$9.74,0.409%,0.000%,816324399
3907,JOFF,-0.102%,$9.78,$9.76,0.000%,0.000%,26771217
2807,FRXB,-0.102%,$9.90,$9.75,0.102%,-0.123%,8241207132
150,AEAC,-0.102%,$9.80,$9.76,0.307%,-0.102%,3341726
4424,MBAC,-0.102%,$9.79,$9.76,0.205%,-0.204%,4919116
5107,NVSA,-0.102%,$9.79,$9.75,0.051%,-0.204%,67132366048
2934,GCBC,-0.102%,$52.00,$46.57,4.876%,-1.433%,1273997538486937
2032,DHCNL,-0.102%,$19.86,$19.31,2.113%,-0.965%,16120857143128
4351,LUXA,-0.102%,$9.86,$9.83,0.125%,0.000%,32190334475
3836,IVCP,-0.102%,$9.79,$9.78,0.000%,0.000%,2171610
2383,EOCW,-0.103%,$9.74,$9.71,0.103%,-0.205%,1427283519
4155,LEAP,-0.103%,$9.90,$9.85,0.355%,-0.103%,4191235969
3622,IHRT,-0.105%,$19.80,$18.42,2.347%,-2.501%,45574165690968455866
4372,LYB,-0.105%,$108.29,$101.72,1.912%,-1.458%,2688721318233253292625564
5230,OMCL,-0.113%,$134.37,$126.50,1.672%,-2.266%,757010861719776056833
3057,GLHA,-0.114%,$9.78,$9.73,0.206%,-0.154%,5212183
6439,SLNHP,-0.115%,$20.15,$19.48,0.253%,-1.496%,62436213099
2886,FXCOW,-0.118%,$0.17,$0.16,2.968%,-0.588%,3623351443
6799,TBLD,-0.118%,$17.35,$16.61,1.776%,-1.058%,382300233345522
1741,CPTAL,-0.119%,$25.25,$25.02,0.320%,-0.080%,24124565
2834,FT,-0.123%,$8.14,$7.92,0.496%,-1.609%,249463275246194
1800,CS,-0.124%,$8.29,$7.82,0.870%,-2.457%,1144112181306451896414406
7507,WDFC,-0.124%,$191.53,$182.11,0.597%,-1.770%,34002919350943213062
2557,FACA,-0.124%,$9.79,$9.76,0.102%,0.000%,31328912
3869,JCO,-0.125%,$8.02,$7.97,0.000%,-0.125%,798761288954670
282,AJRD,-0.128%,$40.20,$38.00,2.177%,-1.865%,69466641698785857597
4708,MSD,-0.130%,$7.89,$7.53,0.652%,0.000%,1150869575415414
5710,PRTA,-0.137%,$38.80,$35.40,3.445%,-3.844%,53905382547259785502
1277,CAMP,-0.139%,$7.62,$7.02,3.194%,-4.515%,21252377183723372407
4501,MELI,-0.142%,$1267.67,$1150.69,5.571%,-4.892%,2350824522234852297619124
6066,ROG,-0.143%,$273.09,$271.79,0.162%,-0.140%,24082501279133192874
1410,CET,-0.144%,$42.14,$41.32,0.532%,-0.647%,133111181265144
6087,RPID,-0.144%,$7.19,$6.49,2.576%,-5.764%,30051724200129622190
4413,MAS,-0.150%,$55.29,$51.82,2.368%,-2.325%,2812534492217352913922105
6348,SHOO,-0.151%,$41.20,$38.42,2.671%,-2.531%,535463659839100677894
1979,DCO,-0.151%,$54.61,$52.08,2.195%,-2.018%,5126277841030793
5241,ONBPO,-0.152%,$26.45,$25.96,0.699%,-0.304%,100137132039
1795,CRWS,-0.154%,$6.52,$6.07,2.711%,-3.091%,89497171142103
7053,TSCO,-0.154%,$235.73,$229.21,0.757%,-1.191%,1961620614189152092817576
2094,DNAD,-0.154%,$9.73,$9.70,0.197%,-0.154%,185362315
4550,MHN,-0.157%,$12.78,$12.50,1.513%,-0.626%,140250392266376
2239,ECCX,-0.158%,$25.36,$25.15,0.436%,-0.320%,9293235230
1288,CARG,-0.160%,$45.68,$40.45,3.357%,-3.497%,1139311755104121294113261
5966,RGCO,-0.164%,$21.69,$20.73,0.764%,-1.654%,74143156148125
2583,FBNC,-0.165%,$44.00,$41.89,3.048%,-2.665%,21981832251629162008
7728,ZDGE,-0.166%,$6.46,$5.41,6.736%,-4.452%,294012798529421082
435,ANGI,-0.169%,$6.24,$5.63,2.439%,-4.500%,915096281057378178350
7511,WEA,-0.169%,$11.86,$11.59,1.027%,-1.273%,33433523792198
4464,MCS,-0.169%,$18.22,$17.21,0.729%,-2.640%,21542379195438362204
1866,CUBI,-0.169%,$57.07,$51.55,4.291%,-5.341%,626259846891956010853
6115,RUSHA,-0.171%,$53.45,$51.04,2.278%,-1.380%,31353813419438833525
4935,NKG,-0.173%,$11.54,$11.21,1.230%,-1.568%,6017333294135
5444,PCTY,-0.173%,$212.96,$198.86,1.423%,-3.465%,51166785551985828539
4632,MNTK,-0.174%,$12.12,$11.19,2.352%,-3.445%,44083682323237004808
7324,VGM,-0.175%,$11.53,$11.20,0.706%,-0.617%,7851050590817423
5086,NVACW,-0.176%,$0.17,$0.17,2.907%,-0.118%,35228631
4263,LMACW,-0.179%,$0.80,$0.67,10.025%,-14.267%,937285127197
6284,SELF,-0.181%,$5.68,$5.47,3.091%,-2.131%,111112107190135
1283,CAPL,-0.183%,$22.27,$21.50,0.870%,-0.909%,668460332371357
5680,PRGO,-0.183%,$38.61,$36.97,2.213%,-2.484%,985018685181371732217592
7563,WLK,-0.184%,$127.21,$119.41,1.500%,-1.161%,71441043689081452010064
5391,PATI,-0.187%,$8.29,$7.96,1.867%,-1.840%,4110988114145
5498,PFE,-0.190%,$54.08,$51.97,1.428%,-2.333%,136044131016131319212366164691
1438,CGA,-0.192%,$10.78,$9.91,4.272%,-2.885%,2341383549656
822,BBDC,-0.193%,$10.55,$10.25,1.166%,-0.771%,41734416569559934052
7007,TREE,-0.198%,$124.92,$113.67,2.654%,-3.165%,45183461454439574459
2788,FRLA,-0.199%,$10.04,$10.01,0.150%,-0.100%,131061815
256,AIBBU,-0.200%,$10.01,$9.98,0.100%,-0.300%,45623200
544,ARGU,-0.200%,$10.00,$9.96,0.151%,-0.200%,17231074
5492,PFBC,-0.201%,$77.64,$74.25,2.326%,-3.143%,12991338124012721316
4261,LMACA,-0.201%,$9.96,$9.91,0.101%,-0.402%,2162194093501317
7591,WQGA,-0.202%,$9.92,$9.87,0.101%,-0.302%,2173340
571,ARTA,-0.202%,$9.90,$9.88,0.000%,-0.202%,56170128144117
701,AURC,-0.203%,$9.85,$9.81,0.000%,-0.407%,14174710
4916,NHIC,-0.204%,$9.81,$9.78,0.102%,0.000%,131312139
2844,FTEV,-0.204%,$9.80,$9.76,0.205%,-0.255%,74132741241
6672,STRE,-0.204%,$9.78,$9.75,0.000%,0.000%,3218524
2280,EGGF,-0.205%,$9.74,$9.72,0.000%,-0.103%,2234154581
7108,TWLV,-0.205%,$10.00,$9.72,0.051%,-2.550%,42502014
5303,OSBC,-0.205%,$15.47,$14.37,3.623%,-3.496%,20043822353228583064
6804,TBSA,-0.205%,$9.79,$9.75,0.000%,0.000%,41533945
1044,BMBL,-0.205%,$30.47,$27.11,3.462%,-1.983%,2893716111168622547620968
2877,FWAC,-0.206%,$9.74,$9.71,0.206%,0.000%,2971100100
3599,IFN,-0.207%,$19.45,$18.70,0.897%,-1.711%,2336955419958810
2446,ESGRP,-0.208%,$26.53,$25.78,0.883%,-0.833%,3612188113332
3974,KEP,-0.212%,$9.51,$9.31,1.071%,-0.212%,9531083652804821
3216,GSV,-0.213%,$0.49,$0.44,6.222%,-4.255%,5974291279945728
1021,BLL,-0.218%,$94.79,$88.53,1.374%,-1.134%,1993422484177513330519911
123,ADM,-0.223%,$93.50,$85.66,3.430%,-2.400%,5667152695462599193244527
7730,ZEN,-0.225%,$122.78,$117.44,0.862%,-0.991%,1968717639227462485715888
1421,CFFI,-0.226%,$51.00,$49.65,1.281%,-1.877%,60334582209
7047,TS,-0.229%,$31.48,$29.62,1.492%,-0.520%,2011120162179442442219228
1345,CCNEP,-0.230%,$26.15,$25.85,0.000%,-0.958%,42551753
4704,MSB,-0.230%,$27.09,$25.05,0.845%,-0.806%,1180158711286491454
2726,FNB,-0.234%,$13.13,$12.62,1.412%,-2.292%,1100711746138181738915570
3405,HNNAZ,-0.238%,$25.30,$24.71,1.368%,-1.237%,2610232330
326,ALLE,-0.238%,$115.87,$111.19,1.321%,-1.073%,117941076475761411016190
1612,CMSC,-0.238%,$26.26,$25.58,0.819%,-0.620%,1782906018066
5731,PSNL,-0.240%,$8.94,$7.56,7.098%,-6.332%,44085255333472545336
1734,CPRX,-0.241%,$8.55,$7.76,2.222%,-4.311%,918885019555850513535
4584,MKFG,-0.242%,$4.33,$3.92,1.222%,-2.600%,58765939576778766304
2448,ESLT,-0.243%,$238.97,$213.00,2.179%,-2.127%,17761137227837091987
531,ARCO,-0.244%,$8.44,$7.76,4.841%,-4.512%,107867094531155375036
423,AMYT,-0.245%,$8.40,$7.81,2.516%,-2.524%,499521595857791
375,AMBO,-0.245%,$0.84,$0.70,5.725%,-3.363%,630650985868231
2755,FOSLL,-0.245%,$24.61,$23.76,2.218%,-1.671%,122104807694
4430,MBINO,-0.247%,$25.43,$24.96,0.551%,-0.328%,4651109321
3003,GGZ,-0.249%,$14.15,$13.92,0.571%,-0.575%,112944310665
4555,MICT,-0.250%,$0.66,$0.59,4.712%,-4.391%,218220125485761104
4428,MBIN,-0.251%,$30.05,$27.62,3.222%,-3.300%,960110711049011032
3196,GS,-0.253%,$344.00,$331.51,0.018%,-1.006%,4251642450535915707849176
4747,MTOR,-0.253%,$35.74,$35.39,0.479%,-0.421%,84227633831877706444
491,APPN,-0.255%,$66.91,$58.35,4.935%,-4.592%,82351003481041019210526
956,BIGZ,-0.256%,$11.92,$11.18,2.165%,-1.880%,33002461261137763598
592,ASB,-0.257%,$24.11,$23.07,2.000%,-2.472%,1100013025113181325216755
3440,HQI,-0.258%,$19.54,$18.82,0.579%,-2.011%,576459348625309
4973,NNDM,-0.261%,$3.98,$3.58,4.509%,-3.101%,8590940899651278912801
3470,HTBK,-0.262%,$11.84,$11.31,1.211%,-2.979%,15151357269517322144
3351,HHS,-0.262%,$7.74,$7.20,1.892%,-2.258%,15626016165243
6025,RMCF,-0.263%,$7.73,$7.40,2.114%,-1.840%,10192638151
6049,RNST,-0.264%,$35.41,$33.53,1.887%,-2.882%,34793896351235174071
2296,EIM,-0.264%,$11.41,$11.20,0.622%,-0.880%,1222145914671692997
4525,MGF,-0.266%,$3.77,$3.71,0.536%,-0.533%,107250218240307
6289,SERA,-0.267%,$4.05,$3.50,10.204%,-6.527%,715629330843961
6710,SVFAW,-0.268%,$0.60,$0.52,8.229%,-7.036%,774564244152
6650,STEM,-0.268%,$11.94,$10.57,3.393%,-5.304%,2675222734204593066321272
6117,RUTH,-0.269%,$23.09,$21.70,2.844%,-2.751%,28934975470955305146
5901,RCUS,-0.269%,$37.46,$32.84,3.673%,-8.518%,7676916492271241416303
5287,ORCC,-0.269%,$15.07,$14.68,0.536%,-0.266%,889811283136291105015679
1502,CIFR,-0.272%,$3.94,$3.52,3.217%,-3.093%,34563375367332662752
1455,CHDN,-0.272%,$230.00,$220.82,0.640%,-2.093%,37484619590880124629
4890,NEWTZ,-0.275%,$25.46,$25.32,0.197%,-0.118%,29561214
7499,WBS,-0.277%,$60.48,$56.79,2.897%,-3.026%,119671444598601457513061
1017,BLI,-0.279%,$7.79,$6.52,9.429%,-4.800%,980278838527189769953
7033,TRS,-0.280%,$33.49,$31.62,1.906%,-1.971%,11521382145217521489
3851,JAMF,-0.281%,$36.18,$34.16,2.625%,-1.069%,57315551903394798805
7079,TTM,-0.282%,$29.59,$28.00,0.882%,-1.534%,67714499329297607176
2240,ECF,-0.283%,$10.67,$10.45,0.380%,-0.665%,301280287376505
5316,OSUR,-0.284%,$7.26,$6.80,1.608%,-1.724%,41695130411676247363
3453,HRZN,-0.284%,$14.20,$13.92,0.713%,-0.497%,18411705230324421855
3546,IAG,-0.287%,$3.56,$3.22,3.939%,-0.875%,930351788764974210586
7055,TSEM,-0.288%,$48.98,$48.43,0.144%,-0.410%,89449476904569388041
5116,NVX,-0.289%,$17.50,$15.92,3.125%,-1.582%,83132126155133
4127,LBRDP,-0.295%,$27.40,$26.89,1.107%,-0.407%,691163811492
4280,LNFA,-0.296%,$10.13,$10.09,0.099%,-0.395%,1040611327
924,BGS,-0.297%,$27.89,$26.57,1.939%,-1.538%,8914998310714887110354
5432,PCN,-0.299%,$15.50,$15.16,-0.065%,-0.648%,377503704650437
4233,LINK,-0.300%,$10.38,$9.65,3.316%,-1.638%,3844905134
6455,SMBC,-0.301%,$51.22,$49.61,1.166%,-2.343%,429446397387502
4339,LTRX,-0.303%,$6.91,$6.54,1.513%,-2.080%,75074113301000607
