Ticker number,Ticker,Week's Performance,Highest Price,Lowest Price,Best Day,Worst Day,Week's Volume
39,ABSI,0.132%,$8.39,$7.38,9.894%,-7.563%,831875933981
26,ABCB,0.158%,$45.49,$43.56,0.904%,-1.358%,582058015373
59,ACCO,0.245%,$8.29,$8.04,0.245%,0.122%,573634213763
0,A,0.393%,$137.66,$133.59,1.127%,-1.158%,171272352625806
22,AB,0.832%,$46.25,$45.37,0.044%,-0.130%,196914512332
1,AA,0.884%,$98.09,$88.11,3.721%,-4.098%,792346725055764
45,AC,0.886%,$41.49,$40.65,0.861%,-0.822%,68302163
42,ABTX,0.939%,$45.68,$43.47,1.587%,-0.835%,245524692500
82,ACLX,0.987%,$17.19,$14.74,3.950%,-4.839%,119622121525
44,ABVC,1.004%,$2.54,$2.29,3.863%,-5.676%,108170190
38,ABR,1.296%,$17.35,$16.91,1.473%,-0.348%,132961216011260
25,ABC,1.476%,$155.34,$151.29,1.210%,0.085%,154021536115248
21,AAWW,1.564%,$89.82,$86.48,0.902%,0.169%,693096217073
83,ACM,1.697%,$79.57,$76.71,1.531%,-0.633%,10704876010550
66,ACGL,1.709%,$47.76,$46.64,0.889%,-0.084%,222981732717383
36,ABNB,1.723%,$171.00,$162.43,3.653%,-1.601%,725615356066090
24,ABBV,1.727%,$162.03,$158.85,0.847%,0.486%,551005734755852
54,ACB,10.243%,$4.56,$3.53,8.895%,-4.662%,5403210841549130
46,ACA,2.007%,$58.24,$56.23,1.215%,0.069%,471840083271
63,ACET,2.157%,$17.70,$16.39,2.397%,-0.699%,331042574998
41,ABT,2.224%,$120.00,$116.61,0.511%,0.253%,490983599947389
62,ACER,2.473%,$3.08,$2.81,5.300%,-4.333%,497324327
11,AAME,2.518%,$3.09,$2.66,1.799%,0.000%,8017473
35,ABMD,2.598%,$325.00,$306.97,2.490%,-1.370%,954791276184
7,AAIC,2.601%,$3.56,$3.46,1.445%,-0.568%,391199820
16,AAPL,2.654%,$175.73,$170.21,1.992%,0.483%,688102663600716107
57,ACC,2.841%,$55.90,$53.90,1.448%,0.387%,907957967166
70,ACHC,3.035%,$66.89,$64.18,1.533%,-0.200%,9011110467940
12,AAN,3.202%,$22.15,$21.03,1.672%,0.597%,497844783400
18,AAT,3.256%,$37.10,$35.72,2.216%,0.362%,334221112463
28,ABCM,3.627%,$18.61,$17.74,3.917%,0.558%,175115962769
30,ABEV,4.795%,$3.08,$2.90,2.389%,0.000%,318741841124139
10,AAMC,5.122%,$15.72,$14.10,7.254%,-1.457%,16540392
9,AAL,6.070%,$17.44,$16.10,2.514%,0.174%,101431132714106278
