Ticker number,Ticker,Week's Performance,Highest Price,Lowest Price,Best Day,Worst Day,Week's Volume,Volatility
102,1126,BRIVW,21.976,0.51,0.41,21.341,-1.691,11454116.0,23.032
103,247,AHPAW,21.8,0.7,0.5,18.182,-5.385,92025625122278.0,23.567
107,5540,PHGE,21.528,1.82,1.37,18.243,-3.521,694986114242.0,21.764
108,3751,IPA,21.516,5.08,3.96,8.279,-5.492,215140151332948.0,13.771
111,124,ADMA,21.333,1.9,1.48,8.642,-0.546,1.1133164251511718e+24,9.187999999999999
112,1720,CPARW,21.258,0.61,0.48,11.389,-10.18,585025842.0,21.569
113,7599,WRN,21.134,2.37,1.89,17.526,-5.532,7.805621273414871e+18,23.058
115,214,AGFY,20.976,5.41,3.72,11.833,-1.951,1.3095181684681414e+21,13.784
116,4799,MYPSW,20.877,0.85,0.65,19.385,-3.858,462796343.0,23.243000000000002
117,5331,OUST,20.823,4.91,3.89,6.522,-0.721,8.93195881329713e+22,7.243
118,7228,USER,20.759,11.51,9.15,11.178,0.716,3.1563459278333166e+19,11.894
119,1831,CTAQW,20.69,0.37,0.29,20.69,0.0,93291485.0,20.69
120,7716,YTEN,20.682,6.12,4.56,14.072,-6.422,2.6881125576599728e+17,20.494
121,2861,FULC,20.647,22.52,18.11,5.183,0.836,3.768717174085473e+19,6.019
122,6855,TELL,20.621,5.94,4.45,16.8,-8.122,6.534915728499443e+26,24.922
123,4601,MLSS,20.53,1.6,1.2,11.765,-1.673,5.638819452189126e+16,13.438
124,6756,SYRS,20.183,1.43,1.04,11.966,-5.455,1.9032072237739667e+19,17.421
125,844,BCACW,20.0,0.46,0.35,18.286,-3.359,563992126.0,21.645000000000003
126,867,BCTXW,20.0,5.01,3.98,10.658,-4.654,2791528048115.0,15.312
127,3904,JOBY,19.894,7.04,5.21,16.207,-6.162,3.621697521412036e+24,22.369
128,6676,STRNW,19.861,0.44,0.3,16.088,-0.054,58101202021.0,16.142
129,4553,MHUA,19.745,10.14,7.84,6.003,1.786,346272233140157.0,7.789
130,886,BEEM,19.7,19.18,15.24,9.313,-3.952,4.289485046776804e+19,13.265
132,7729,ZEAL,19.157,16.4,13.47,3.284,-0.397,48132360175.0,3.681
133,4365,LWLG,19.154,10.99,8.95,8.182,-0.093,5.733558856036956e+19,8.275
135,7369,VLD,18.91,10.9,8.48,12.294,-3.492,3.463111207040708e+20,15.786000000000001
136,6154,SABS,18.721,2.63,1.92,13.043,-6.849,566343430773905.0,19.892
137,5534,PHAR,18.696,9.65,7.8,10.034,-2.357,6112111370112.0,12.391000000000002
138,2090,DNA,18.539,4.65,3.42,11.138,-6.637,6.642962532709481e+25,17.775
139,2014,DGHI,18.328,4.0,3.09,12.219,-5.0,5302841030903783.0,17.219
140,4301,LOVE,18.264,63.41,43.38,5.173,-5.922,5.797613813736543e+22,11.094999999999999
141,5300,ORN,18.222,2.82,2.25,9.664,-1.481,1.2958431017107579e+17,11.145
142,1797,CRXTW,18.188,0.27,0.13,5.1,-7.258,2361711992111156.0,12.358
143,7152,UCL,18.125,2.35,1.58,23.125,-4.124,6.3033151511350216e+16,27.249
144,5063,NTRB,18.085,4.57,3.76,9.043,-5.288,279311163275288.0,14.331
146,1148,BRTX,17.986,5.5,4.17,19.664,-8.889,530217429322297.0,28.553
147,3662,IMNM,17.91,6.4,4.69,17.194,-5.146,3.5630847541417744e+16,22.34
148,2421,EQT,17.868,35.52,28.9,11.316,-2.427,8.712613717769387e+25,13.743
149,6951,TMCWW,17.756,0.55,0.43,11.067,-15.448,11401658159.0,26.515
150,3083,GLUE,17.724,14.1,10.76,15.168,-4.673,2.7493086325933404e+19,19.841
151,1394,CELZ,17.708,5.14,2.73,12.5,-7.36,2.182815631120224e+24,19.86
152,7314,VERY,17.707,6.3,4.14,18.043,-7.361,601314989.0,25.404
153,4034,KORE,17.704,6.05,5.03,2.423,-0.912,1.2651920173217323e+19,3.335
154,2780,FREEW,17.67,0.62,0.51,11.091,0.0,21106165122.0,11.091
155,576,ARTEW,17.618,0.45,0.33,6.061,-16.5,23271745163.0,22.561
156,1499,CIDM,17.571,0.87,0.68,11.518,-1.043,3.909411429193857e+19,12.561
158,3549,IBA,17.552,47.1,39.36,6.891,-0.226,3332311598872325.0,7.117
159,3499,HUMAW,17.544,2.01,1.69,10.44,-3.803,32117761125.0,14.242999999999999
160,2373,ENTFW,17.5,0.38,0.32,18.719,-2.632,433022112.0,21.351000000000003
161,7321,VGFC,17.367,0.53,0.41,12.65,-6.222,5.077203391579383e+16,18.872
162,1771,CRK,17.352,13.89,11.01,8.644,-0.981,3.338429130358433e+24,9.625
163,6638,SSU,17.33,8.5,7.0,2.609,-15.647,641678876410154.0,18.256
164,707,AUUD,17.277,2.57,1.75,21.925,-3.448,2.2474117450311796e+16,25.373
165,63,ACET,17.256,19.59,16.39,9.849,-0.699,3.3104257499859255e+19,10.548
166,7461,VTYX,17.176,14.62,10.75,14.667,-5.374,2.4631571141419483e+19,20.041
167,119,ADGI,17.016,6.14,3.67,0.26,-12.391,1.0318101081006112e+25,12.651
168,6127,RVPHW,16.986,0.28,0.2,12.852,-2.361,421971448.0,15.213000000000001
169,5109,NVSAW,16.937,0.38,0.3,18.7,0.0,2558214.0,18.7
170,3068,GLOP,16.875,6.15,4.8,7.707,-5.326,2.6401215756723998e+20,13.033
171,5465,PEAR,16.818,5.49,4.07,10.064,-3.524,2.7172553378051314e+19,13.588000000000001
172,1179,BTBD,16.788,2.45,2.0,7.495,-0.73,212185139215112.0,8.225
173,1552,CLIR,16.783,1.75,1.4,6.993,-1.183,330341210894317.0,8.176
174,6462,SMFRW,16.763,0.69,0.56,13.696,-0.014,64401322132.0,13.709999999999999
175,3656,IMGO,16.694,22.81,17.9,11.024,-3.556,2.5994635382329414e+19,14.579999999999998
176,444,ANTE,16.667,2.18,1.5,13.333,-6.468,4981664592329359.0,19.801000000000002
177,4794,MYNA,16.568,12.09,9.5,6.667,-4.528,2701118423656521.0,11.195
178,2072,DLPN,16.484,5.79,4.43,17.363,-7.407,3.956859425260089e+16,24.77
179,1684,COMS,16.456,0.95,0.66,19.481,-4.013,1.5181508232610224e+19,23.494
180,6468,SMIT,16.432,5.0,4.16,7.551,-1.844,184150904132.0,9.395
181,4946,NLSN,16.308,27.21,21.84,0.67,-3.83,6.878365010356133e+25,4.5
182,5162,OBSV,16.279,1.53,1.28,9.302,-3.597,1.5301323726617862e+19,12.899
183,2405,EPSN,16.216,6.53,5.5,10.135,-5.1,4311156936212342.0,15.235
184,2112,DOOO,16.168,85.18,69.14,3.949,-2.063,3.0806232490241974e+19,6.0120000000000005
185,767,AXR,16.132,13.6,10.38,18.069,-3.385,115717775338173.0,21.454
186,7405,VORBW,16.129,1.47,1.08,21.186,-2.419,367405548788111.0,23.605
187,3823,ITQRW,16.046,0.32,0.2,3.705,-5.414,62313139.0,9.119
188,3653,IMCC,16.019,2.59,1.87,11.163,-3.398,7.289562718401804e+19,14.561
189,6120,RVACW,16.0,0.55,0.35,13.726,-15.575,5953105540.0,29.301000000000002
190,6493,SNDL,15.988,0.89,0.61,20.478,-6.213,2.471544341771709e+29,26.691000000000003
191,5244,ONCS,15.966,1.45,1.15,10.4,-9.774,5192446003181128.0,20.174
193,4569,MIRO,15.951,4.24,3.14,15.031,-7.0,2013704768520507.0,22.031
194,468,APCXW,15.948,0.27,0.21,19.502,-9.483,221171161.0,28.985
195,6502,SNOA,15.805,4.14,3.15,5.053,-6.388,2.113071332602314e+16,11.440999999999999
196,3498,HUMA,15.764,7.3,6.17,7.704,0.0,2.7912990254244397e+19,7.704
198,1841,CTIC,15.704,5.25,4.26,9.874,-5.598,1.8419186551489612e+24,15.472000000000001
199,6887,TGS,15.683,6.92,5.93,6.408,-0.601,9.023306204524392e+18,7.009
200,703,AUROW,15.625,1.57,1.26,6.25,-7.533,154585416692.0,13.783000000000001
201,1392,CELU,15.583,8.91,7.1,5.304,-3.03,3.261118315801783e+19,8.334
202,7689,XRTX,15.569,2.0,1.58,6.63,-6.566,1839783483174353.0,13.196
203,5986,RIDE,15.512,3.64,2.87,9.718,-3.704,2.3920225551487126e+24,13.422
204,1133,BRLIW,15.509,0.24,0.13,9.274,-25.0,5317601517.0,34.274
205,3064,GLMD,15.493,1.64,1.42,8.451,-1.316,169269125189210.0,9.767000000000001
206,5621,PMVP,15.459,24.27,17.98,7.968,-4.4,5.838112431097798e+21,12.368
207,3922,JRVR,15.429,24.77,20.86,9.526,-1.061,4.442378933666042e+19,10.587
208,4355,LVLU,15.428,6.34,5.32,8.736,-6.336,6.931412137716071e+18,15.072000000000001
209,933,BHAT,15.41,0.48,0.39,10.803,-1.077,1.1711223948100755e+17,11.88
210,7397,VNRX,15.302,3.3,2.7,7.5,-0.667,1.8964984711541156e+16,8.167
212,5922,REED,14.996,0.32,0.26,4.59,-2.893,1.5352549171431346e+19,7.483
213,769,AXSM,14.967,41.4,34.51,9.013,-3.729,6.1816381173872066e+22,12.742
214,650,ATHA,14.956,14.0,11.08,7.059,-3.92,3.895577954415193e+19,10.979
215,5829,QS,14.937,21.19,16.94,6.824,-2.482,3.466330021136711e+26,9.306000000000001
217,6948,TMBR,14.926,0.41,0.33,17.143,-0.692,4.5846051573116563e+17,17.835
218,5015,NRDY,14.88,5.61,4.55,7.221,-1.224,5.288280721493298e+19,8.445
219,6107,RSVRW,14.706,2.5,1.97,16.751,-4.703,489658907190512.0,21.454
220,6869,TEVA,14.67,9.52,8.03,4.338,-1.04,1.7370400032686837e+24,5.378
221,6642,STAA,14.613,87.12,69.56,4.026,-3.779,8.557662535274129e+21,7.805
222,5181,OCX,14.599,1.68,1.33,5.594,-1.429,2.0422429250223804e+19,7.023000000000001
223,688,ATY,14.591,3.26,2.71,6.271,-1.413,4763743426961131.0,7.684
224,44,ABVC,14.566,2.9,2.29,10.117,-5.676,1081701901391287.0,15.793000000000001
226,7443,VSTM,14.504,1.65,1.16,14.394,-6.107,6.68663997213821e+19,20.501
227,6394,SJT,14.489,8.85,7.7,4.734,-1.885,5.1537054501652685e+19,6.619
228,1921,CYBE,14.425,43.79,37.03,9.658,-2.371,9.249081039271322e+17,12.029
229,548,ARHS,14.323,9.18,7.01,1.238,-5.263,2.450224619654834e+20,6.5009999999999994
230,617,ASPU,14.286,1.91,1.4,16.149,-8.995,2952178475256660.0,25.144
231,6813,TCBP,14.286,2.13,1.18,14.179,-8.434,1.5142037151771745e+21,22.613
232,3065,GLNG,14.226,25.24,21.21,7.845,-4.052,2.3566366131809227e+24,11.896999999999998
233,6429,SLGL,14.203,7.95,6.9,6.377,-1.974,537813587223.0,8.350999999999999
234,637,ATAKW,14.143,0.09,0.07,21.286,-4.101,12729116724.0,25.387
